category,business name,description,detail,url
activities,Ace Pickle Barn,fitness,pickleball facility,https://www.whidbeypicklebarn.com
activities,American Legion Auxiliary South Whidbey 141,youth,youth baseball,https://www.legion.org/baseball/teams/2015/wa/304519
activities,Fmrf,youth,summer camp,https://fullmoonrisingfarm.com
activities,Island Explorer,marine adventure,kayak rentals,https://www.whidbeyislandkayaking.com
activities,Island Nautilus,fitness,Island Athletic Club,https://islandathleticclub.com
activities,Joli Farms Quarter Horses,fitness,equestrian lessons,https://joli-farms.business.site
activities,Pilates Collective,fitness,pilates,https://www.pilatescollective.studio/teachers
activities,Saratoga Yacht Charters,marine adventure,yacht charter,https://saratogayachtcharters.com
activities,Scotch Whisky Events2,tastings,scotch and whiskey tastings,https://www.scotchwhiskyevents.com
activities,Silly Dog Studios2,photography,photography workshops,https://www.danieljgregory.com
activities,Solid Stone Boxing,fitness,fitness - boxing gym,https://www.solidstoneboxing.com
activities,South Island Crossfit,fitness,"gym, crossfit",https://www.southislandcrossfit.com
activities,South Whidbey Little League,youth,youth,https://www.southwhidbeylittleleague.com
activities,The Backyard Whidbey Island,youth,gym,https://www.thebackyardwhidbey.org/
activities,The Hub - Youth Central,youth,youth afterschool,http://www.thehubafterschool.org
activities,The Preserve At Trillium2,explore nature,explore nature,https://www.wclt.org/projects/trillium-community-forest/
activities,Tiger Martial Arts,fitness,martial arts studio,http://tigermartialarts.info
activities,Travis Furlanic Mushroom Tours,explore nature,mushroom tours,https://www.whidbeymushroomtours.com
activities,Useless Bay Golf & Country Club,sports,"golf, country club",https://www.uselessbaygolf.com
activities,Whidbey Island Garden Tour,gardening,annual garden tour,https://www.wigt.org
activities,Wylderwebb Sanctuary,fitness,yoga retreat,http://www.wylderwebb.com
animal services,Animal Hospital By The Sea,veterinary hostpital,veterinarian,https://www.animalhospitalbythesea.com
animal services,Cmc Dog Trainer,dog training,,https://www.cmcdogtrainer.com
animal services,Critters Pet Rescue Foundation,animal rescue,pet supplies,https://www.whidbeycritters.com/
animal services,Double Down Dog Training,dog training,,https://www.doubledowndogtraining.com
animal services,Equestrian Crossings,equestrian classes,equestrian services,https://equestriancrossings.org/classes/our-classes/
animal services,Global Wildlife Resources Inc,wildlife capture (training),,https://wildlifecaptureandcare.com
animal services,Hope Therapeutic Riding Program,equestrian,"youth, horses, therapy",https://www.hopewhidbey.com
animal services,Love Bug Pet Massage,pet massage,pet services,https://www.lovebugpetmassage.com
animal services,Oasis For Animals,no kill shelter,animal shelter,http://oasisforanimals.org
animal services,Prevail K9 Training,dog training,,https://prevailk9training.com
animal services,Salty Paws Pet Services Pllc,"pet care, beach walks",pet services,http://www.saltypawspet.services
animal services,Seven Cedars Dog Training,dog training,,https://www.7cedarsdogtraining.com
animal services,South Whidbey Animal Clinic,veterinary clinic,veterinarian,https://southwhidbeyac.com
animal services,Tricia'S Pet Care,in-house pet sitting,pet services,https://triciaspetcare.com
animal services,"Useless Bay Animal Clinic, Pc.",veterinary clinic,veterinarian,https://www.yelp.com/biz/useless-bay-animal-clinic-freeland
animal services,Waif Endowment Foundation,animal rehoming,animal rescue,https://waifanimals.org
animal services,Whidbey Dog Works,dog training,,https://www.whidbeydogs.com/home
animal services,Whidbey Equine Massage And Bodywork,Equine Massage and Bodywork ,equestrian services,https://www.facebook.com/whidbeyequinemassageandbodywork/
arts & culture,Animals 24-7,news,investigative newspaper and information service reporting about humane work worldwide. ,https://www.animals24-7.org
arts & culture,Artists' Cooperative Of Whidbey Island,gallery,,http://www.whidbeyartists.com
arts & culture,Artworks Gallery,gallery,,https://www.artworkswhidbey.com
arts & culture,Babs Small Publications,literary,,https://www.babsmallpublications.com/about
arts & culture,Back Door Clay Community Studio,clay center with classes,,https://whidbeyclaycenter.com
arts & culture,Cormac Mccarthy Fine Art,gallery,,https://www.cormacpaints.art
arts & culture,Cultus Bay Glass,gallery,,https://www.cultusbayglass.com
arts & culture,Frank Spear Photographic Art,photographic art,,https://spearphotoart.com
arts & culture,Island Art Glass,retail,glass are online and retail,https://islandglassart.com
arts & culture,James E. Tennison Artist,oil paintings and watercolors,,https://www.jamestennison.com
arts & culture,Jing+Mike Co.,literary children's books and illustrations,,http://www.jingandmike.com
arts & culture,Lachaussee Blown Glass,blown glass,,https://www.lachausseeblownglass.com
arts & culture,Museo Gallery,gallery,,https://museo.cc
arts & culture,Otherworld Children'S Media,"media production company for public broadcasting, educational media, alternative technology, and theatre.",,http://www.otherworldmedia.com
arts & culture,Outcast Productions,theatre company,,http://outcastproductions.net/
arts & culture,Rob Schouten Gallery & Sculpture Garden,art gallery,,https://www.robschoutengallery.com
arts & culture,Saratoga Chamber Orchestra,orchestra,,https://www.sowhidbey.com
arts & culture,The Clyde Theatre Llp,movie theatre,,http://theclyde.net
arts & culture,The Shifty Sailors,performing musicians,,https://shiftysailors.net
arts & culture,This Is Whidbey,news,news,https://thisiswhidbey.com
arts & culture,Tulip And Hound Productions,"literary arts, novels",,https://tulipandhound.com
arts & culture,Vamola Brazilian Music And Dance,"performing musicians, Brazilian drum and dance",,https://vamola.org
arts & culture,Whidbey Children'S Theater,children's theatre,,https://wctmagic.org
arts & culture,Whidbey Island Center For The Arts,deepening our shared humanity and sense of belonging through art,,https://www.wicaonline.org/
arts & culture,Whidbey Island Dance Theatre,dance theatre,,https://www.widtonline.org
arts & culture,Whidbey Life Media,literary publisher,,https://www.whidbeylifemagazine.org
B2B services,Abi Tschetter,marketing services,marketing agency,https://www.abitschetter.com
B2B services,Aldermarsh,retreats,5 acre retreat destination,https://www.aldermarsh.net
B2B services,Ananda Valenzuela,leadership,,https://anandavalenzuela.org
B2B services,Ands,nursing certifications,,https://www.andsconsulting.com
B2B services,"Anthony W. Dougherty, P.S.",attorney,,https://www.awdlawoffices.com
B2B services,"Arndt & Walker, Attorneys At Law",attorney,,http://kawlawyers.com
B2B services,Artifact Technologies,digital services,,https://www.artifacttech.com/index.html
B2B services,Ash Consulting Group,consulting,,https://www.hagbergconsulting.com
B2B services,Atomic Otter,full service for SBs,,https://atomicotter.com
B2B services,Ayurveda Arts,health,,https://www.facebook.com/p/Ayurveda-Arts-100067023071271/?paipv=0&eav=AfYgQX99mjdUwv0PyCJFv9jYhyGQo3RME3Gh6QNKPLb4j57T0iAkLCwjQ2HgzEt9cn4&_rdr
B2B services,"B. Heath Gunn, Cpa, Ps",accounting,,https://www.skagitvalleydirectory.com/biz/23694/gunn-b-heath-cpa
B2B services,Balanced Tax Solutions,accounting,,https://balancedtax.solutions
B2B services,Bdub Relations,uplift your brand,,https://bdubrelations.com
B2B services,"Best Practice, Inc Coaching ",leadership,,https://bestpracticeinc.com
B2B services,Black Dog Black Cat,B2B Consulting Services,mgmt consulting,https://blackdogblackcat.com
B2B services,Buoy It Solutions,IT services and consulting,,https://www.buoyitsolutions.com
B2B services,Cairn Financial,B2B Consulting Services,wealth mgmt,https://www.cairnfinancial.com
B2B services,Catalyst Film Consulting Inc,film,,https://www.catalystfilmconsulting.com
B2B services,Chase Scientific,"security, robotics, food production",,https://www.chase-scientific.com
B2B services,CK Graphic Design,Creative Agency,"Branding, Rebranding, Marketing Campaigns, Marketing Services, Website Design & Development Assorted Signage",https://ckgraphicdesign.com
B2B services,Connects Marketing Group Inc,B2B Consulting Services,mgmt consulting B2B,https://connectsgroup.com
B2B services,Curtis Myers,B2B Consulting Services,retail management services,https://www.myersgroupllc.com
B2B services,Cyberevolution,"real-time biophysical data acquisition, processing, and display",,http://www.cyberevolution.com/index.html
B2B services,Dca Tax Planning,financial services,"cpa, tax planning",https://whidbeycpa.com
B2B services,Diamondback Technology,engineering,bulk material handling,https://diamondbacktechnology.com
B2B services,Diverse Design,marketing services,web design,https://diversedesign.net
B2B services,Eagles Eye Consultants,B2B Consulting Services,security consulting,http://www.eagleseyeconsultants.com/home.html
B2B services,Eti Consulting,management consulting,environmental stewardship,http://www.etitrain.com
B2B services,Experiential Consulting,management consulting,risk management for outdoor programs,https://www.outdoorrisk.com
B2B services,Frosty Hollow Ecological Restoration,ecology specialists,ecological restoration,https://www.landcan.org/local-resources/Frosty-Hollow-Ecological-Restoration/57560/
B2B services,Fulton Financial Consultants,financial services,financial services and consulting,https://www.fultonfinancial.com
B2B services,"Fusionspark Media, Spc",digital services,"marketing, content, design",http://www.fusionspark.com
B2B services,Gb Productions,digital services,"creative agency for web, mobile and logo design",https://gbpro.net
B2B services,Honestly Bookkeeping Inc,financial services,bookkeeping,https://honestlybookkeepinginc.com
B2B services,Invitechange,professional coaching,leadership training,https://www.invitechange.com
B2B services,Isle Of Art,"gifts, printing services","design, print",https://featherandfoxprintco.com
B2B services,J.Johnson Insurance,financial services,"health insurance, life, employee",https://www.jjinshealthchoices.com
B2B services,"James M. Paulson, Professional Corporation",arbitration,,http://www.jmpaulson.com/index.html
B2B services,Jm Tax Services,financial services,individual and corporate tax returns,https://www.jmtaxservices.com
B2B services,Kaela Ann Incorporated,marketing services,print design,https://www.kaylaanncreative.com
B2B services,Kalakala Co. Animation,creative content creation,,https://kalakala.co
B2B services,Kingspoke Marine Surveying,marine,marine surveyor,https://kingspokemarine.com
B2B services,Kk  Financial Solutions,financial services,financial advisor,https://www.kkfinancialsolutions.us
B2B services,Lakemont Consulting Group,B2B Consulting Services,IT consulting,https://lakemontconsulting.com/index.php
B2B services,Laura Southard Consulting,B2B Consulting Services,"human resources strategy, planning and operational support to organizations and businesses with a special emphasis on embedding equity, diversity and inclusion into the design and delivery of programs, policies and practices.  ",https://www.southardhr.com
B2B services,"Law Office Of James L Carbone, Pllc",attorney,,https://www.skagitvalleydirectory.com/biz/28307/carbone-james-pllc-law-office-of
B2B services,"Law Offices Of Andrew F Scott And Associates, Pllc",attorney,,https://afscottlaw.com/freeland-wa-lawyer/
B2B services,Leeds Consulting Group,lead generation,,https://leedscg.com
B2B services,Limina,home funeral guide,,https://lucindaherring.com
B2B services,Maketa Wilborn Consulting,B2B Consulting Services,leadership facilitator,https://www.maketawilborn.com/index.php
B2B services,Mountains To Sound Marketing,digital services,"SEO, marketing",https://mountainstosoundmarketing.com
B2B services,New Harmony Statistical Consulting,B2B Consulting Services,statistician,https://newharmonystats.com
B2B services,Nichols Marine Services,marine,consulting for new vessel construction,https://www.nicholsms.com/index.html
B2B services,Nurses2Go,placement services for qualified Nurses,,https://www.nurses2go.com
B2B services,Paladin Partners I,B2B Consulting Services,executive coach,https://janismachala.com
B2B services,Parallax Consulting Nw,B2B Consulting Services,executive coach,https://parallaxconsulting.com
B2B services,Phoenix Russo Photography,photography,photographer,https://www.phoenixrussophotography.com
B2B services,Prodigy Health Insurance Services,medical stop-loss coverage in all 50 states to self-funded employers with 51 or more employees.,,https://prodigystoploss.com
B2B services,Quantum Edge,leadership consulting,,https://quantumedge.org
B2B services,Rhizome Design,digital services,digital content creation and implementation services,https://rhizomecollaborative.com
B2B services,Rosenkranz Productions,digital services,digital content creation,https://rosenkranzproductions.com
B2B services,Safe Ride News Publications,educational publisher,,https://www.saferidenews.com
B2B services,Safe Shop Tools,marine tools,rigging tools,http://www.safeshop.com/index.html
B2B services,Savage Screen Printing,screen printing and embroidery,,https://www.savagescreenprinting.com/index
B2B services,Seinergy,energy conservation for indoor growers and technical advisor to utility companies,,https://seinergy.com/about-us/
B2B services,Serpco,marketing services,marketing agency,https://serp.agency
B2B services,Shine Pathways,academic coaching,,https://www.shinepathways.com
B2B services,Sibyl Design,marketing services,marketing agency,https://www.sibyl.com/#filter=.home
B2B services,Solaris Images,photography,"authentic, compelling images of people, industrial and architectural subjects on location for businesses, publishers and non-profits",https://www.mlharrisphotography.com
B2B services,Sound Business Strategies,B2B Consulting Services,mgmt consulting,https://soundbusinessstrategies.com
B2B services,Sourcing The Way,B2B Consulting Services,leadership coaching,https://sourcingtheway.com
B2B services,Sp Industrial Lubrication & Air,Industrial Lubrication and Compressed Air Systems,,https://www.spi-airlube.com
B2B services,Sterling Estate Services,"appraiser, personal property",,https://www.sterlingestateservices.com
B2B services,Suitespot Consulting,digital services,"Netsuite, oracle",https://www.suitespotconsulting.com
B2B services,Summit24,B2B Consulting Services,"marketing strategy, business strategy",https://www.summit24.com
B2B services,Taylor Pension Administration,pension administration,,https://www.taylorpension.com
B2B services,Techcadia,IT github,"tech, automation, deployment",https://github.com/Techcadia
B2B services,Tennison Films,brand films,,https://www.tennisonfilms.com
B2B services,The Hydrodynamics Group,experienced in the development of groundwater resources and deep geological energy storage projects.,,http://hydrodynamics-group.com
B2B services,Tristan J Carney,marketing services,marketing agency,https://tristanjcarney.co/
B2B services,Ust Training,"driver training, class A, B and C UST",,https://usttraining.com
B2B services,Vista Diagnostics International,medical: rapid diagnostic test development,,https://vistadx.net
B2B services,Vista Laboratory Services,antibody and materials for lateral flow rapid tests,,https://vistalaboratoryservices.com
B2B services,Whidbey Creative,digital marketing,branding,https://www.whidbeycreative.com
B2B services,Z-Pulley Incorporated,spatial software,,http://z-pulley.com/#pr
clubs and causes,Alongside Ministries International,advancing the Christian gospel,,https://www.alongside.org
clubs and causes,American Gin & Tonic Designers Association,food and beverages,,https://www.agtda.org
clubs and causes,Baby Island-Saratoga Club,youth scholarships,,https://www.babyislandsaratogaclub.org/
clubs and causes,Ballydidean Farm Sanctuary,"allydídean rescues, rehabilitates, and rehomes farmed animals who are unwanted, neglected, or abused",,https://ballydidean.farm/
clubs and causes,Calvary Chapel Of Whidbey Island,"church, evangelical",,https://www.ccwhidbey.com
clubs and causes,Cascade Dachshund Club,dachshund club,,https://www.cascadedachs.org
clubs and causes,Christian Life Community Church Of Whidbey Island,Church Christian,,http://clcwhidbey.com
clubs and causes,"Christian Science Society, Langley, Washington",Christian Science Society of South Whidbey,,https://christiansciencesouthwhidbey.com
clubs and causes,Clinton Chamber Of Commerce,tourism,,https://discoverclintonwa.com
clubs and causes,Clinton Community Council,Clinton Community Council,,https://clintoncommunitycouncil.org
clubs and causes,Cugos,Open Source GIS professionals,,https://cugos.org 
clubs and causes,Fetch,off leash dog parks,,http://www.fetchparks.org/index.html
clubs and causes,Genealogical Society Of South Whidbey Island,Genealogical Society,,http://www.gsswi.org/index.shtml
clubs and causes,Goosefoot Community Fund,essential community solutions,,https://goosefoot.org/news-events/
clubs and causes,Greater Freeland Chamber Of Commerce,chamber of commerce,,https://freelandchamber.org
clubs and causes,Healing Circles Langley,facilitating human connections,,https://healingcircleslangley.org
clubs and causes,Hearts & Hammers,rehabilitating houses for those in need,,http://www.heartsandhammers.com/
clubs and causes,Hedgebrook,supporting visionary women writers,,https://hedgebrook.org/
clubs and causes,Helping Hand Of South Whidbey,"Helping Hand provides immediate financial assistance to residents of South Whidbey when basic services of life and well-being are in danger of being discontinued, and makes referrals for longer-term assistance.",,https://helpinghandofsouthwhidbey.org
clubs and causes,Hillside Evangelical Free Church,church evangelical,,http://hillside-efc.com
clubs and causes,Holmes Harbor Rod And Gun Club,Holmes Harbor rod and gun club,,https://www.hhrodandgun.com
clubs and causes,"Home On Whidbey, A Community Land Trust",affordable housing on south Whidbey,,https://www.homeonwhidbey.org
clubs and causes,Impact Teams International,fundraising for children in developing Nations,,http://www.impactkids.org/index.html
clubs and causes,International Steel Shooting Association,steel shooting,,https://www.internationalsteelshoot.com
clubs and causes,Island Arts Council,"WIAC fosters local artists and arts organizations through grants, fiscal management and sponsorship",,https://www.islandartscouncil.org
clubs and causes,Island Beach Access,beach access,,https://www.islandbeachaccess.org/index.php
clubs and causes,Island Roots Housing,local housing,,https://islandrootshousing.org
clubs and causes,Island Rowing Association,sports,,https://islandrowing.org
clubs and causes,Island Shakespeare Festival,arts,,http://www.islandshakespearefest.org/
clubs and causes,Kiseki Horse Rescue Foundation,animal rescue,,https://www.kisekihorserescue.org
clubs and causes,Langley Main Street Association,business,,https://langleymainstreet.org/
clubs and causes,Langley United Methodist Church,church methodist,,https://langleyumc.org
clubs and causes,Langley Village Association,Langley Main St,,https://langleymainstreet.org
clubs and causes,Living Design Foundation Dba Living Design Foundation,curriculum development in education,,https://www.livingdesignfoundation.org
clubs and causes,Meerkerk Rhododendron Gardens,gardening,,http://www.meerkerkgardens.org/
clubs and causes,Mobile Turkey Unit Of Whidbey Island,human services,,https://www.mobileturkeyunit.com/
clubs and causes,Mother Mentors Of Whidbey Island,human services,,https://www.mothermentors.org
clubs and causes,Moving Images Video Project,peace,,https://www.movingimages.org/index.htm
clubs and causes,Northwest Art Alliance,arts,,https://nwartalliance.org
clubs and causes,Northwest Food Alliance Inc,food secure communities,,https://northwestfoodalliance.com
clubs and causes,Oneness Project,Dedicated to the Dances of Universal Peace,,https://onenessproject.com
clubs and causes,Orca Network,educating the public and protecting orcas and their habitat,,http://www.orcanetwork.org/
clubs and causes,Rod And Gun Safety Education Club,gun safety,,https://www.hhrodandgun.com
clubs and causes,Rotary Club Of South Whidbey Island,rotary,,https://portal.clubrunner.ca/811/
clubs and causes,Rotary Club Of Whidbey Westside,rotary,,https://portal.clubrunner.ca/9353/
clubs and causes,Salish Sea Cooperative Finance,"helping members align their money with their values through investing, borrowing, and financial literacy.",,https://salishseafinance.coop
clubs and causes,Science And Spirit Institute,"promote and engage in the study and uses of energy as relates to physics, medicine, spirit, and art from the perspective of the holistic divine feminine that all is connected.",,https://scienceandspirit.institute
clubs and causes,Slow Food Whidbey Island,slow food,,https://slowfoodwhidbeyisland.org/
clubs and causes,Soroptimists International Of South Whidbey Island,girl empowerment,,https://soroptimistsouthwhidbey.org
clubs and causes,South Whidbey Assembly Of God,"Church, Christian",,https://www.swagchurch.com
clubs and causes,South Whidbey Church Of Christ,"Church, Christian",,https://www.southwhidbeychurchofchrist.org
clubs and causes,South Whidbey Historical Society,historical society,,https://southwhidbeyhistory.org
clubs and causes,South Whidbey Schools Foundation,building relationships between our community and schools,,https://swsfoundation.org
clubs and causes,South Whidbey Tilth Association,"we are a community of gardeners, farmers and consumers on South Whidbey Island who support good tilth–carbon-rich, living soil–as the foundation of a vibrant and biodiverse agriculture.",,https://www.southwhidbeytilth.org/events
clubs and causes,South Whidbey Yacht Club,yacht club,,https://swyachtclub.org
clubs and causes,South Whidbey Yacht Club Youth Sailing Association,youth sports,,https://swyachtclub.org/learn-to-sail/
clubs and causes,"St. Augustine'S In-The-Woods Episcopal Parish, Freeland,  Washington","church, episcopal",,https://www.staugustinesepiscopalchurch.org
clubs and causes,The Applique Society,applique in quilting,,https://theappliquesociety.org
clubs and causes,The Christian And Missionary Alliance Church Of Langley,"church, Christian",,https://icwhidbey.org
clubs and causes,The Giraffe Project Dba The Giraffe Project,"honoring compassionate risk-takers with the courage to stick their necks out for the common good, in the US and around the world.",,https://www.giraffe.org
