category,business name,description,detail,url
food,Third Act,dinning,eclectic comfort food,https://www.savoryrestaurantwhidbey.com
food,Thirsty Crab Brewery,dinning,brewery and build-a-brat food truck,https://www.thirstycrabbrewery.com
food,Village Pizzeria Ii,dinning,pizza,https://www.villagepizzerialangley.com
food,Village Wine Shop,dinning,wine tasting,https://villagewineshops.com
food,"Whidbey Doughnuts, L.L.C.",dinning,donuts,https://whidbeydoughnuts.com
food,Whidbey Island Alpacas2,farm,alpacas,https://www.pronkinpastures.com
food,Whidbey Island Bagel Factory,dinning,bagels,https://www.facebook.com/whidbeyislandbagelcompany/
food,Whidbey Island Dahlias,farm,dahlias,https://www.whidbeydahlias.com/home
food,Whidbey Island Distilleries,dinning,spirits,https://www.whidbeydistillery.com
food,Whidbey Island Grown Cooperative,farm collective,food co-op,https://www.whidbeyislandgrown.com
food,"Whidbey Pies, Etc.",dinning,pies,https://whidbeypies.com
food,"Whidbey Pies, Etc.",food producer,pies,https://whidbeypies.com
food,Wildly Beloved Foods,food producer,wholesale pasta,https://wildlybelovedfoods.com
food,Windy Indigo Farm And Fiber,farm,"wool, small batch",https://windyindigo.com
health & wellness,Adam Bear Healing Arts,healing arts,,https://www.cosmicmanbear.com
health & wellness,"Ashley Crawford, Psyd, Pllc",healthcare provider,counseling,http://www.drashleycrawford.com
health & wellness,Assist In A Miracle,healthcare provider,childbirth,http://www.assistinamiracle.com
health & wellness,Bayview Vision Clinic Inc,healthcare provider,optometry,https://www.bayviewvisionclinic.com
health & wellness,Bear Nourishment,health,,https://www.nutrome.net
health & wellness,Better Balance,wellness yoga,,http://www.betterbalance.us
health & wellness,Bicoff-Smit Counseling Pllc,healthcare provider,counseling,https://www.bicoffsmitcounseling.com
health & wellness,Black Rabbit Studio,beauty,tatoo,https://www.instagram.com/blackrabbittattoolangley/
health & wellness,"Brandon L. Biehler, Dmd, Pllc",healthcare provider,dentist,https://www.whidbeyislandsmiles.com
health & wellness,Breath Medicine Body Mind,breath work,,https://www.breathmedicinebodymind.com
health & wellness,C'Est Moi Salon,beauty,hair salon,https://visitlangley.com/cest-moi-salon/
health & wellness,"Carrie Pope, Msw, Licsw, Pllc",healthcare provider,counseling,http://www.carriepopelicsw.com
health & wellness,"Chiropractic Zone, Inc",healthcare provider,chiropractic,https://www.chirozone.net
health & wellness,Clarity Counseling,healthcare provider,"I provide couples, families, and individuals of all ages with compassionate, client-focused therapy.",http://www.claritycounseling.life
health & wellness,"Lynne Donnelly, CST, EFTCert-II",healthcare provider,"CranioSacral Therapy, Qi Therapy/Qigong",http://www.lynne.org
health & wellness,Crosby Skin Studio,beauty,"skin services, hair removal",https://crosbyskinstudio.com
health & wellness,Curacion Counseling Pllc,healthcare provider,counseling,https://www.curacioncounseling.com
health & wellness,"Debbara Monroe, Ph.D., Psychology, Pllc",healthcare provider,"psychological evaluations, testing, therapy",https://www.pnw-psych.com
health & wellness,Double Diamond Bodywork And Massage Pllc,massage,massage therapist,http://doublediamondbodywork.com
health & wellness,Dr. Eli Bentabou Chiropractic And Wellness Center,healthcare provider,chiropractor,https://eli-bentabou-chiropractic-wellness-center.business.site
health & wellness,Edward Park Dds Ps,healthcare provider,dentist,http://langleydentalcare.com
health & wellness,Eternal Wellness,"pilates, zumba, dance",,https://www.eternalwellness.life
health & wellness,Heron Lake Press,"alexithymia, emotion cards",,https://www.mixed-emotions.com
health & wellness,Ingrid Buchan Therapy Pllc,healthcare provider,ADHD and neurodivergent treatment,https://www.ingridbuchantherapy.com/#home
health & wellness,"Inspire Acupuncture, Pllc",acupuncture,,https://www.inspire-acupuncture.com
health & wellness,Island Holistic,"a holistic approach of modalities for integration of body, mind, emotion and spirit ",,https://www.islandsoulholistic.com
health & wellness,"James L. Cox, Optometry",healthcare provider,optometry,https://doctor.webmd.com/doctor/james-cox-9e060a07-5eb5-472e-bafd-8e4f66370ff3-overview
health & wellness,"Jess Jarris, Pllc",healthcare provider,somatic counseling,https://www.jessjarris.com
health & wellness,"Kristine Leigh O'Kelly Bsw, Lmp",massage,massage therapist,https://dancingtreehealingandmassage.amtamembers.com
health & wellness,Kula Yoga & Wellness,yoga studio,,http://kulayogawhidbey.com
health & wellness,"Kyle Fukano, D.D.S., Pllc",healthcare provider,dental,https://www.freelandfamilydentalwa.com/meet-the-team
health & wellness,Lone Lake Physical Therapy,healthcare provider,physical therapy,https://www.soundviewcenter.com/llpt
health & wellness,Meg Gluckman Coaching,co-parenting and post divorce support,,https://www.meggluckman.com
health & wellness,Metamorphe Health Clinic P.C.,healthcare provider,Naturopathic care,https://www.metamorphehealth.com
health & wellness,"Molly Putnam Counseling, Pllc",healthcare provider,counseling,https://www.mollyputnam.com
health & wellness,Moon House Reiki,Reiki,,https://www.moonhousereiki.com
health & wellness,Movewell Physical Therapy And Wellness,healthcare provider,physical therapy,https://www.movewell-pt.com
health & wellness,Our Nature Acupuncture,acupuncture,,https://www.ournatureacupuncture.com
health & wellness,"Paul Samuelson, Pmhnp-Bc, Inc",healthcare provider,psychiatric care,https://www.whidbeyintegrativepsychiatry.com
health & wellness,"Peak Performance Chiropractic Center, Ps",healthcare provider,chiropractor,https://peakperformancechiropractic.com
health & wellness,"Reboot Center For Innovative Medicine, Pllc",healthcare provider,restorative care,https://rebootcenter.com
health & wellness,Reconnective Therapy Incorporated,ReConnective Therapy ,,https://www.reconnectivetherapy.com
health & wellness,Resonant Botanicals,all natural pain relief lotions and creams,,https://resonantbotanicals.com
health & wellness,"Robert Jangaard, P.S.",healthcare provider,functional and naturopathic medicine,https://www.jangaardclinic.com
health & wellness,Rumours,beauty,hair salon,http://www.rumoursaveda.net
health & wellness,Safalab,nutritional supplements,,https://safalab.com
health & wellness,"Safe Seas Psychotherapy, Pllc",healthcare provider,psychotherapy and counseling,https://www.sound-psychotherapy.com
health & wellness,"Sage Counterstrain, Pllc        Langley        Wa        -Bizapedia -Opengovwa -.Gov -Washingtoncompanysearch -Yelp -Sicba -Whidbeylocal -Dnb -Officialusa -Clustrmaps",healthcare provider,Counterstrain Treatment,https://www.soundviewcenter.com
health & wellness,Salish Sea Physical Therapy,healthcare provider,physical therapy,http://salishseapt.com
health & wellness,Salon Bella,beauty,hair salon,https://salonbellawhidbey.com
health & wellness,Sarah Manchester Therapy,healthcare provider,"psychotherapy, counseling",https://sarahmanchestertherapy.com
health & wellness,"Sea Level Therapy Services, Pllc",healthcare provider,counseling services,https://www.sealeveltherapy.com
health & wellness,"Seaside Mental Health And Psychiatric Services, Pllc",healthcare provider,psychiatric services,https://www.seasidementalhealth.com
health & wellness,Silly Dog Studios,herbalism,,https://www.ritualmischief.com
health & wellness,Sojourn Family Care,healthcare provider,"RN, newborn and postpartum services",https://www.sojournfamilycare.com
health & wellness,South Whidbey Good Cheer,food bank,,https://goodcheer.org
health & wellness,South Whidbey Physical Therapy And Sports Clinic,healthcare provider,physical therapy,https://southwhidbeypt.com
health & wellness,Studio A,beauty,hair salon,https://www.studioasaloninc.com
health & wellness,Sweet Sisters Bodycare,beauty,skin and hair care,https://sweetsistersbodycare.com/welcome/about/
health & wellness,Tevon Dubois Pllc,healthcare provider,psychiatric care,https://www.tevondubois.com/practice-information
health & wellness,The Body Praxis,fully customized cutting-edge brain and body fitness program for you,,https://www.thebodypraxis.com
health & wellness,The Rock Hair Studio,"beauty, personalized sustainable haircare in a quiet environment amongst the trees","For folks who need a low toxic, low energy, chill salon space.",https://therockhairstudio.wixsite.com/therockhairstudio
health & wellness,The Tova Company,"assessment of, and evaluation of treatment for, attention deficits, including ADHD",,https://tovatest.com
health & wellness,Therapy With Arden Pllc,healthcare provider,counseling,https://therapywitharden.com
health & wellness,Transformational Tools,spiritual guide and teachings,,https://transformationaltools.com
health & wellness,Water'S Edge Family Practice & Wellness Center,healthcare provider,women's health,https://www.watersedgewellnesscenter.com
health & wellness,"Whidbey Dizziness & Balance, Pllc",healthcare provider,physical therapy,https://www.whidbeydizzy.com
health & wellness,Whidbey Island Cannabis Company Culture,health and wellness products,cannabis,http://www.whidbeyislandcannabisco.com
health & wellness,"Whidbey Performance Physical Therapy, Pllc",healthcare provider,physical therapy,http://www.whidbeyperformancept.com
health & wellness,Wymo,yoga retreat,,http://www.wylderwebb.com
home and garden,A1-South Island Lock & Key,locksmith,,https://gowhidbey.wixsite.com/a1lock
home and garden,Art Of Soil,landscape design,,http://www.artofsoil.com
home and garden,Good Heart Homes,property concierge services,,https://www.good-heart-homes.com
home and garden,Hagglund Industries,window cleaning,,https://hagglundww.com/#
home and garden,Heavy Metal Works,metal fabrication,metal fabricator and custom neon signs,http://www.heavymetalworks.com
home and garden,Heggenes Lawn Care,lawn care,,https://heggeneslawncare.com
home and garden,Henry Tree Service,tree service,,https://www.henry-tree.com
home and garden,Honold'S Ornamental Ironwork,metal fabrication,"gates, railings, water features",https://www.modstudionw.com
home and garden,Idigital,audio/video installations,,https://www.whidbey-av.com
home and garden,Iws,metal fabrication,"welding, custom, repairs",https://www.irishweldingservices.com
home and garden,J. Michelle Designs,outdoor living design,,https://jmichelledesigns.com
home and garden,Let There Be Light Services,window and gutter cleaning,,https://lettherebelightservices.com
home and garden,Monarch Metal Works,metal fabrication,metal works,https://www.monarchmetalworks.com
home and garden,Mutiny Bay Bamboo Co L.L.C.,bamboo privacy screens,,https://www.facebook.com/p/Mutiny-Bay-Bamboo-Co-100063534670413/?paipv=0&eav=AfblFZ3SduVYZzBcG2NHkawGKzJsG8COf958Z-Kv1zL_V9wxT94luFw_BrZVnwmKa_s&_rdr
home and garden,Pacific Landscapes Of Whidbey,landscape design,,https://www.pacificlandscapesofwhidbey.com
home and garden,Possession Point Woodworking,fine furniture and cabinetry,,http://possessionwood.com
home and garden,Rainy Day Flora,garden design and installation,,https://www.rainydayflora.com
home and garden,Roots Landscaping & Restoration,"landscaping, preservation and restoration services",,https://christine-tasseff.squarespace.com
home and garden,South Whidbey Self Storage,moving and storage,storage,https://www.southwhidbeyselfstorage.com
home and garden,The Grounds Professionals,landscaping,,https://thegroundspro.com
home and garden,Waters Edge Landscapes,landscaping,,https://watersedgel.com/#home-1-section
home and garden,Whidbey Heating & Stoves,"wood fireplaces, sales and service",,https://www.whidbeystoves.com
home and garden,Whidbey Home Watch,home maintenance,,https://www.hwwhidbey.com
home and garden,Whidbey Roof & Gutter Cleaning Inc,roof and gutter cleaning,,https://whidbeyroofandguttercleaning.com
home and garden,Whidbey Sun & Wind2,"solar power, wind power",,http://www.whidbeysunwind.com
home and garden,Whidbey'S Topsoil2,"soil, bark, gravel, firewood",,https://whidbeystopsoil.com/index.html
lodging and destinations,Boatyard Inn,lodging,vacation rentals,https://www.boatyardinn.com
lodging and destinations,Campfire Whidbey,event spaces,event venue and catering,https://www.campfirewhidbey.com
lodging and destinations,Clinton Community Hall,event spaces,community hall,http://clintoncommunityhall.org/
lodging and destinations,Comfort Farm And Vineyard,lodging,winery,https://www.comfortsofwhidbey.com
lodging and destinations,Saratoga Inn,lodging,bed and breakfast,https://www.saratogainnlangley.com
lodging and destinations,The Greenbank Progressive Club,event spaces,,https://www.greenbankprogressiveclub.org
lodging and destinations,The Inn At Langley,lodging,Inns,https://innatlangley.com
lodging and destinations,The Quintessa,lodging,,https://www.thequintessa.com
lodging and destinations,The Whidbey Wayfarer,event spaces,weddings,https://whidbeyislandwedding.com/Home.html
lodging and destinations,Whidbey Event Rentals,event spaces,event supplies (rentals),https://whidbeyeventrentals.com
lodging and destinations,Whidbey Island Bed And Breakfast,lodging,bed and breakfast,https://www.whidbeybandb.com
lodging and destinations,Wifire,event spaces,event spaces,https://www.facebook.com/WiFireCommunity/
retail & services,A Place To Put It,retail,self storage,http://aplace2putit.com
retail & services,Abott Property,real estate,realtor,https://whidbeyislandsouthoffice.johnlscott.com/home
retail & services,All Island Storage - Freeland,retail,self storage,https://allislandstorage.com/storage-locations/freeland-storage-units/
retail & services,Alla-Mano Creations,retail,handmade jewelry,https://foamywader.com
retail & services,Artisancrafted.Com,retail,housewares artisan crafted,http://artisancrafted.com
retail & services,Bayview F & G,retail,gardening,https://www.bayviewgarden.com
retail & services,Bayview Farmer'S Market Association (Llc),retail,farm,https://www.bayviewfarmersmarket.com
retail & services,Birch Label,retail,sticker manu,https://birch-label.business.site
retail & services,Blue Peony,retail,gifts,https://thebluepeony.com
retail & services,Blue Sound Music L.L.C.,retail,musical instruments,https://www.bluesoundmusic.com
retail & services,Brazen Dobermans,retail,dog breeder,https://brazendobermans.com
retail & services,Building Source,retail,residential design,https://www.buildingsourceinc.com
retail & services,"Camano Plaza Gas & Lube, L.L.C.",retail,gas,https://www.exxon.com/en/find-station/mobil-clinton-wa-naomis-200321356?utm_source=google&utm_medium=organic&utm_campaign=gmb
retail & services,Casa Group Corporation,real estate,realtor,https://whidbeyislandsouthoffice.johnlscott.com/home
retail & services,Cascadia Meadows,wedding venue,wedding venue,https://www.cascadiameadows.com
retail & services,"Casey'S Crafts, L.L.C.",retail,crafts,https://caseyscrafts.net
retail & services,Cheryl Keefe Real Estate Inc,real estate,realtor,https://cherylk.johnlscott.com/home
retail & services,Classic Shine Auto Detailing,automotive,auto detailing,https://www.classicshineautodetail.com
retail & services,Clm Mosolino,real estate,realtor,https://mosolino.mywindermere.com
retail & services,Contemporary Classics Of Washington,automotive,classic cars,http://www.contemporaryclassicsofwa.com
retail & services,Cook On Clay,retail,online clay cookware,https://www.cookonclay.com
retail & services,Cooper Auto Sales,automotive,"for sale, rent",https://www.cooperauto.com
retail & services,Craven Insurance,automotive,insurance,https://www.craveninsurance.com
retail & services,Cribbageboard.Com,retail,cribbage boards,http://www.cribbageboard.com
retail & services,Critters Pet Rescue Foundation,retail,pet supplies,https://www.whidbeycritters.com/
retail & services,Dalton Realty,real estate,realtor,https://daltonrealtyinc.com
retail & services,Dana Macinnis Real Estate Services,real estate,realtor,https://danam.johnlscott.com/home
retail & services,Dana On Whidbey L.L.C.,real estate,realtor,https://danaonwhidbey.com
retail & services,Ddml Cuisine,wedding venue,wedding venue,https://fireseedcatering.com
retail & services,Ddp Properties,retail,self storage,https://www.southwhidbeyselfstorage.com
retail & services,Earth 2 Art,retail,handcrafted stone art,https://www.earth2artstudio.com
retail & services,Edit.,retail,clothing,https://www.editwhidbey.com
retail & services,Elm Design,retail,candles,https://elmdesigncandles.com
retail & services,Enso House,senior services end of life care,senior services end of life care,https://ensohouse.org
retail & services,Enso House,senior services end of life care,senior services end of life care,https://ensohouse.org
retail & services,Fair Trade Outfitters,retail,clothing,https://www.facebook.com/FairTradeOutfitters/
retail & services,Family Rent-A-Car,automotive,car rental,https://www.whidbeyislandrentalcars.com
retail & services,Firehouse Studio,retail,glassworks,https://callahansfirehouse.com
retail & services,Flying Bear,retail,florist,https://www.flyingbearfarm.com
retail & services,Golden Ginkgo Studio,retail,porcelain serving bowls,https://wildlybelovedfoods.com/collections/golden-ginkgo-studio-by-jane-fung
retail & services,Grayhorse Mercantile Corporation,retail,"specialty foods, home goods",https://www.grayhorsemercantile.com
retail & services,Greenbank Pantry,retail,deli,https://www.greenbankstore.com/pantry
retail & services,Hanson'S Building Supply,retail,hardware and lumber,https://www.hansonsbuildingsupply.com
retail & services,Hart Real Estate Services,real estate,realtor,https://jessicahartrealtor.com
retail & services,Imberys Flowers By The Bay,retail,flowers and delivery,https://www.flowersbythebay.biz/#
retail & services,Island Auction,retail,auctions,https://www.islandauctionllc.com
retail & services,Island Herb Merch,retail,cannabis,https://whidbeyislandherb.com
retail & services,Js Island Real Estate,real estate,realtor,https://www.windermere.com/directory/agents/jim-tomisser
retail & services,Light Hiking Gear,retail,hiking supplies,https://lighthikinggear.com
retail & services,Lipetz Co.,real estate,realtor,https://www.compass.com/agents/jan-lipetz/
retail & services,Little Bean'S Toy Chest,retail,handmade children's gifts,https://www.littlebeanstoychest.com
retail & services,Local Building Source,retail,building supplies - cabinetry,https://www.buildingsourceinc.com
retail & services,Madrona Supply Co,retail,screen printed home goods and apparel,https://www.madronasupplyco.com
retail & services,Music For The Eyes Ltd,retail,antique and oriental rugs,https://www.musicfortheeyes.com
retail & services,On Your Behalf,senior services elder care,senior services elder care,http://www.on-your-behalf.com
retail & services,Quicksilver Properties,travel airport,travel airport,https://whidbeyairpark.com/visit.html
retail & services,Right Start Inspection Services,real estate,home inspections,https://rightstartis.com
retail & services,Rippling Wildflower,retail,jewelry handmade,https://ripplingwildflower.com
retail & services,Seaglass Cove,retail,home decor art and gifts,https://www.seaglasslangley.com
retail & services,Senior Services Of Island County Public Benefit,senior services,senior services,https://senior-resources.org
retail & services,Simmons Garage,automotive,auto repair,https://www.theshopatsimmonsgarage.com
retail & services,Simmons Towing Inc,automotive,towing,https://www.simmonstowinginc.com
retail & services,Sound Business Center,retail,copy center office supply,https://www.sbccopycenter.com
retail & services,Sound Support & Solutions,computer help mac & iphone,computer help mac & iphone,https://soundsupport.biz
retail & services,South Whidbey At Home,senior services helping at home,senior services helping at home,https://swathome.clubexpress.com
retail & services,South Whidbey Real Estate Services,real estate,broker,https://southwhidbeyrealestate.com
retail & services,Stillfire Pottery,retail,housewares hand crafted porcelain bowls,https://stillfirepottery.com
retail & services,Sugarpill,retail,apothecary,https://sugarpillseattle.com
retail & services,Suzanne Leisher Realty,real estate,realtor,https://suzanne-leisher.kw.com
retail & services,The Healthy Pet,retail,pet store,https://frommfamily.com/r/5523
retail & services,The Star Store,retail,groceries,https://whidbeycamanoislands.com/activities/star-store/
retail & services,Tim Criswell,real estate,realtor,https://sellingwhidbey.com
retail & services,Tinyblue Foundation,private observatory,private observatory,http://www.tinyblue.com
retail & services,Turnco Wood Products,retail,housewares fine wood goods,https://www.turncowoodgoods.com
retail & services,Unknown,tourism,tourism,https://experiencewhidbey.com
retail & services,Upsy Daisy,retail,antique mall,https://shop.redroosterantiquemall.com
retail & services,Venture Out Corp.,retail,nursery,https://www.ventureoutnursery.com/
retail & services,Walden Lane Gourmet,retail,fine Italian cooking ingredients,https://www.waldenlanegourmet.com
retail & services,Wandering Rabbit Creations,gifts,,https://www.instagram.com/wandering_rabbit_creations/
retail & services,Waterman Enterprises,retail,self storage,http://watermanselfstorageinfo.com
retail & services,Webbs Department Store,retail,department store,https://whidbeycamanoislands.com/activities/webbs-department-store/
retail & services,Whidbey Cycle Wrx,automotive,motorcycle repair,https://whidbeycyclewrx.com
retail & services,Whidbey Island Alpacas,retail,yarn,https://www.pronkinpastures.com
retail & services,Whidbey Island Cannabis Company Culture2,retail,cannabis,http://www.whidbeyislandcannabisco.com
retail & services,Whidbey Millhouse2,retail,lumber,https://www.whidbeymillhouse.com
retail & services,Whidbey Moments,"gifts, decor",photo art and crafts,https://whidbeymoments.com
retail & services,Whidbey Telephone Company,phone service,phone service,https://www.whidbeytel.com
retail & services,Whidbey'S Topsoil,retail,"soil, bark, gravel, firewood",https://whidbeystopsoil.com/index.html
retail & services,Whidbeytronics,retail,electronics,https://www.facebook.com/profile.php?id=100065628186609
retail & services,Windy Indigo Farm And Fiber2,retail,"wool, small batch",https://windyindigo.com
retail & services,Wizard Woodworks,retail,handmade wooden toys,https://stores.wizardwoodworks.com
retail & services,Wright Travel,travel travel agent,travel travel agent,https://www.wrighttravel.com
retail & services,Youthbio Therapeutics,research gene therapy,research gene therapy,https://youthbiotx.com
clubs and causes,Kids First - Island County,youth,Helping children in foster care,https://kidsfirst-ic.org
health & wellness,Ricard Ennis - Rolfing,Certified Advanced Rolfer,"Nerve Mobilization, Scar Treatment and Cold Laser Therapy",http://richennisrolfing.com/RichEnnisRolfing/Intro.html